,documentid,recordtype_x,borough_x,block,lot,easement,partiallot,airrights,subterraneanrights,propertytype,streetnumber,streetname,unit,goodthroughdate_x,recordtype_y,crfn,borough_y,doctype,docdate,docamount,recorded/filed,modifieddate,reelyear,reelnbr,reelpage,%transferred,goodthroughdate_y
92,2010062700009001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,6A,07/31/2015,A,2.01000023831e+12,1,RPTT&RET,06/28/2010,319000,07/16/2010,07/16/2010,0,0,0,100,07/31/2015
93,2009031600707001,L,4,528,50,N,E,N,N,SP,33-55,14TH   STREET,10C,07/31/2015,A,2.00900007847e+12,1,RPTT&RET,03/12/2009,320000,03/18/2009,03/18/2009,0,0,0,100,07/31/2015
94,2005090601727001,L,4,528,50,N,E,N,N,SP,33-55,14 STREET,3A,07/31/2015,A,2.00500053394e+12,4,RPTT,08/23/2005,180000,09/23/2005,09/23/2005,0,0,0,100,07/31/2015
95,2004120901548001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,3C,07/31/2015,A,2.00400079446e+12,1,RPTT&RET,12/09/2004,165000,12/29/2004,12/29/2004,0,0,0,100,07/31/2015
96,2006061900103001,L,4,528,50,N,E,N,N,SP,33-47,14TH STREET,4B,07/31/2015,A,2.00600038693e+12,1,RPTT&RET,06/19/2006,280000,07/07/2006,07/07/2006,0,0,0,100,07/31/2015
97,2008050501152001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,3C,07/31/2015,A,2.00800020044e+12,1,RPTT&RET,04/24/2008,279000,05/19/2008,05/19/2008,0,0,0,100,07/31/2015
98,2008092900121001,L,4,528,50,N,E,N,N,SP,33-65,14TH STREET,12B,07/31/2015,A,2.00800038589e+12,1,RPTT&RET,09/10/2008,315000,09/30/2008,09/30/2008,0,0,0,100,07/31/2015
99,2012071900250001,L,4,528,50,N,E,N,N,SP,33-64,21ST STREET,5C,07/31/2015,A,2.01200029886e+12,1,RPTT&RET,07/17/2012,0,07/30/2012,07/30/2012,0,0,0,100,07/31/2015
100,2009071601240001,L,4,528,50,N,E,N,N,SP,33-60,21 STREET,3-C,07/31/2015,A,2.00900023221e+12,1,RPTT&RET,07/23/2009,361500,07/28/2009,07/28/2009,0,0,0,100,07/31/2015
101,2009122200567001,L,4,528,50,N,E,N,N,SP,33-43,14 STREET,4-A,07/31/2015,A,2.01000002042e+12,4,RPTT&RET,12/30/2009,244000,01/20/2010,01/20/2010,0,0,0,100,07/31/2015
102,2006102600811001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,10A,07/31/2015,A,2.00600060507e+12,2,RPTT&RET,10/25/2006,380000,10/30/2006,10/30/2006,0,0,0,100,07/31/2015
103,2012041701005001,L,4,528,50,N,E,N,N,SP,33-68,21 STREET,10D,07/31/2015,A,2.01200016983e+12,1,RPTT&RET,04/19/2012,320000,04/30/2012,04/30/2012,0,0,0,100,07/31/2015
104,2010062500623001,L,4,528,50,N,E,N,N,SP,33-60,21ST STREET,9A,07/31/2015,A,2.01000023928e+12,1,RPTT&RET,06/30/2010,339000,07/19/2010,07/19/2010,0,0,0,100,07/31/2015
105,2014040400651001,L,4,528,50,N,E,N,N,SP,33-68,21ST STREET,15B,07/31/2015,A,2.01400012546e+12,3,RPTT&RET,04/02/2014,420000,04/11/2014,04/11/2014,0,0,0,100,07/31/2015
106,2012082100620001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,9B,07/31/2015,A,2.01200034437e+12,1,RPTT&RET,08/20/2012,310000,08/30/2012,08/30/2012,0,0,0,100,07/31/2015
107,2009122200567002,L,4,528,50,N,E,N,N,SP,33-43,14 STREET,4-A,07/31/2015,A,2.01000002042e+12,4,PAT,11/24/2009,0,01/20/2010,01/20/2010,0,0,0,0,07/31/2015
108,2005041800089001,L,4,528,50,N,E,N,N,SP,33-64,21 STREET,8C,07/31/2015,A,2.00500025582e+12,4,RPTT&RET,03/18/2005,260000,05/03/2005,05/03/2005,0,0,0,100,07/31/2015
109,2012072701244001,L,4,528,50,N,E,N,N,SP,33-55,14TH STREET,7C,07/31/2015,A,2.01200031729e+12,1,RPTT&RET,07/30/2012,270000,08/13/2012,08/13/2012,0,0,0,100,07/31/2015
110,2011052600740001,L,4,528,50,N,E,N,N,SP,33-43,14TH ST,8C,07/31/2015,A,2.0110002072e+12,1,RPTT&RET,05/27/2011,335000,06/10/2011,06/10/2011,0,0,0,100,07/31/2015
111,2007010301087001,L,4,528,50,N,E,N,N,SP,33-64,21 STREET,8C,07/31/2015,A,2.00700002264e+12,4,RPTT&RET,12/21/2006,287500,01/11/2007,01/11/2007,0,0,0,100,07/31/2015
112,FT_4190002384219,L,4,528,50,N,E,N,N,PA,33-60,14 STREET,,07/31/2015,A,,4,AGMT,,0,10/16/1987,10/16/1987,1987,2474,630,0,07/31/2015
113,2006051201479001,L,4,528,50,N,E,N,N,SP,33-55,14 STREET,9B,07/31/2015,A,2.00600029196e+12,2,RPTT&RET,05/08/2006,270000,05/25/2006,05/25/2006,0,0,0,100,07/31/2015
